2Tang	wisnu.adji@2tang.co.id
Tokocrypto	hello@tokocrypto.com
Yuzu	laidy@megapro.org
The Goods Dept	marketing@thegoodsdept.com
Kalbe Nutrional	rosaline.aryaputri@kalbenutritionals.com
Vans Indonesia	vans.indo@navya.co.id
Avrist Assurance	yoseph-a.triwibowo@avrist.com
Unilever	(udh pindah kerja ke BUMN)
Intercontinental Jakarta	: reservation.icjakarta@ihg.com
KFC	0812-1000-5050 (SMS) atau info@kfcindonesia.com
PT. Mitra Adi Perkasa	a.dissa@hotmail.com
Heinz ABC Indonesia	abcdapuribu@gmail.com
Acer V	acer.indonesia@acer.com
Acer	acerpeduli@acer.com
PT Keva Cosmetics Internasional	acesa@esqacosmetics.com
Sour Sally Group	adhitakawal@soursally.co.id
Sour Sally Group	adhitawakal@soursally.co.id
PT. NET Mediatama Televisi	adi.mangun@netmedia.co.id
Tokopedia	adi.suryanto@tokopedia.com
PT. Sasa Inti	adlin.noor@sasa.co.id
Esprecielo Allure	admarketing.esprecielo@gmail.com
Danone Indonesia	admin.HRgroupe@danone.com
Binar Academy	admin@alamandashantika.com
PT Geotekindo	admin@geotekindo.com
PT The Mega Wallet	admmegaratuwalet@gmail.com
Tango (OT) V	adrien@ot.co.id
The Jakarta Post v	advertising@thejakartapost.com
Ninnette	agathaangelyn@yahoo.co.id
Allianz	agung.nugroho@allianz.co.id
Shopee	agung.susilo@shopee.com - sitisara@shopee.com city.sara@shopee.com - siti.sarah@shopee.com
PT. Bank MNC Internasional, Tbk.	ahmad.mawardi@mncgroup.com / ahmad.mawardi@mnc-corporation.com / ahmad.mawardi@mncbank.co.id
Pocari Sweat	aio.co.id/id/contact-us ;
Wakuliner	aji.nagara@wakuliner.com
Akhmad Zaenuddin & Partners	akhmad.zaenuddin@azlaw.ro
Tehmag Food	albert@tehmag.com.tw
PT Alfa Lautan Biru v	alfakimia1@gmail.com
LinkAja	alia_soedarjo@linkaja.id
PT. KCIC (Kereta Cepat Indonesia China)	allan.tandiono@gmail.com
Sociolla	alvita.silvia@sociolla.com
Auto 2000 Toyota Honda V	alvyfauziah41@gmail.com
PT.Lesso Technology Indonesia Trading	amanyeo88@gmail.com
Grab	ambadar.chaedar@grab.com
KALBE Nutritionals	amelia.sari@kalbenutritionals.com
China Development Bank	anantawijayanti@hotmail.com
Mayora Indah	anastasia.hanny@mayora.co.id 
Jiwa Group	anastasiadelicia@jiwagroup.com
OVO	andi.arif@ovo.id
Tanam Duit	andi@tanamduit.com
Faber-Castell Indonesia	andri.kurniawan@faber-castell.co.id
MNC Sekuritas	andri.muharizal@mncgroup.com
XL	anggapras@xl.co.id
Rukita	anggita@rukita.co
Bank BTPN	anika.faisal@btpn.com
Nivea	anindyahassanti.tamin@beiersdorf.com
PT Kuaikuai Tech Indonesia	anna.andries@gmail.com
PT Lingoace Academy Indonesia Group	anna@pplingo.com
Danone	anne.tupan@danone.com
Emina	annisa.rprawiro@pti-cosmetics.com
Kedai Sayur	annisayustia@kedaisayur.com
PT Kao Indonesia	Anton@kao.co.id
PT Amerta Indah Otsuka	aoryza@aio.co.id
Redoxon	apa.kabar@bayer.com
Mustika Ratu	ar@mustika-ratu.co.id
Johnson & Johnson	arahma13@its.jnj.com
Johnson & Johnson	arahma13@its.jnj.com
Skill Up	ardhitobenedict@gmail.com
PT. Tirta Investama (Danone-AQUA)	aridanto@live.com
Telkom	arif.bro@gmail.com
Shopee	arzanda.laditrinanda@shopee.com
Flip	astari@flip.id
PT Astra International Tbk	Astuti.Utami@isuzu.astra.co.id
Lotte	Atika.lestari@lotte.co.id
PT Kao Indonesia	aurelia@kao.co.id
Maybank Indonesia	aurellia.setiabudi@maybank-ke.co.id
Aqua	azka.karim@danone.com
Sosro	bambang.kustanto@sosro.com
Nu Green Tea	bayu.vana@gmail.com
Zalora Indonesia	bd@id.zalora.com
Zalora	bd@zalora.co.id
Finku	bdpartnership@finku.id
Happy Fresh	beatrix.immanuel@happyfresh.com
Bank CIMB Niaga	bella.cleodora@cimbniaga.co.id
Krispy Kreme Doughnut Indonesia	benedicta.gisela@map.co.id
PT. Bank HSBC Indonesia	berrycdewantoro@hsbc.co.id
My Republic	bimo.harry@myrepublic.net
Cicil	bimo.setiawan@cicil.co.id
Bank Mandiri	bintang.cesario@bankmandiri.co.id
Bank Jasa Jakarta	bjj@bjj.co.id
Blibli	bliblicom.official@gmail.com
BNI	bnicall@ bni.co.id
Bank BTN	bogie.ariyanto@btn.co.id
PT. Bank Tabungan Negara (Persero) Tbk	bogie.ariyanto@btn.co.id
DANA	boy.manurung@dana.id
SOGO	boy.nugroho@sogo.co.id
Brands essence	brandscs@cerebos.co.id
Branz BSD	branz-bsd@tokyu-land.co.id
Loreal	BriennaAlfa.DIAR@loreal.com
PT Puyo Indonesia Kreasi	brigitta.geovanny@puyodessert.com
PT Puyo Indonesia Kreasi (Puyo Dessert)	brigitta.geovanny@puyodessert.com
Puyo	brigitta.geovanny@puyodessert.com
Coca Cola	BUDI.DW.RAHARDJO@ccamatil.com
Bli Bli budi.tjahjono@gdn-commerce.com - heru.nasrudin@gdn-commerce.com - hendro.prabowo@gdn-commerce.com
Reka Cosmetics	business@rekacosmetics.com
Bank Rakyat Indonesia	callbri@bri.co.id
Erigo	callingcollege@erigostore.co.id
Stockbit	calvin@stockbit.com
SHAREit	calvinkantono@gmail.com
Bank Sinarmas	care@banksinarmas.com
PT Asuransi Jiwa Sequis Life	care@sequislife.com
